created_at,text,sentiment
2025-04-12 13:48:52.379247,AI in healthcare is transforming patient care!,positive
2025-04-15 13:48:52.379348,I don't trust AI doctors.,negative
2025-04-13 13:48:52.379355,AI helps detect diseases faster. Impressive tech!,positive
2025-04-08 13:48:52.379359,I think AI will take over human doctors. Scary!,negative
2025-04-08 13:48:52.379362,The AI app misdiagnosed my condition. Not happy.,negative
2025-04-11 13:48:52.379366,Such fast results using AI-based diagnostics.,positive
2025-04-07 13:48:52.379369,I'm unsure if AI is ready for surgery roles.,neutral
2025-04-12 13:48:52.379372,AI is the future of medicine.,positive
2025-04-09 13:48:52.379376,Bad experience with AI medical chatbot.,negative
2025-04-07 13:48:52.379379,AI saved my mom’s life by early diagnosis!,positive
